Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Interest,Deposit,2026-03-01 07:13:45,2026-03-01 07:13:45,"Net Interest Paid to 'Instant Access Savings' for Mar 1, 2026",0.24,0.06,EUR,COMPLETED,4505.75
Interest,Deposit,2026-03-02 07:17:55,2026-03-02 07:17:55,"Net Interest Paid to 'Instant Access Savings' for Mar 2, 2026",0.25,0.06,EUR,COMPLETED,4505.94
Interest,Deposit,2026-03-03 07:09:33,2026-03-03 07:09:33,"Net Interest Paid to 'Instant Access Savings' for Mar 3, 2026",0.25,0.08,EUR,COMPLETED,4506.11
Interest,Deposit,2026-03-04 07:16:42,2026-03-04 07:16:42,"Net Interest Paid to 'Instant Access Savings' for Mar 4, 2026",0.25,0.06,EUR,COMPLETED,4506.30
Transfer,Deposit,2026-03-04 17:14:42,2026-03-04 17:14:42,To Instant Access Savings,1000.00,0.00,EUR,COMPLETED,5506.30
Transfer,Deposit,2026-03-04 17:15:15,2026-03-04 17:15:15,To Instant Access Savings,500.00,0.00,EUR,COMPLETED,6006.30
Interest,Deposit,2026-03-05 07:11:13,2026-03-05 07:11:13,"Net Interest Paid to 'Instant Access Savings' for Mar 5, 2026",0.32,0.08,EUR,COMPLETED,6006.54
Interest,Deposit,2026-03-06 07:10:06,2026-03-06 07:10:06,"Net Interest Paid to 'Instant Access Savings' for Mar 6, 2026",0.33,0.09,EUR,COMPLETED,6006.78
Interest,Deposit,2026-03-07 07:09:53,2026-03-07 07:09:53,"Net Interest Paid to 'Instant Access Savings' for Mar 7, 2026",0.33,0.08,EUR,COMPLETED,6007.03
Interest,Deposit,2026-03-08 07:14:40,2026-03-08 07:14:40,"Net Interest Paid to 'Instant Access Savings' for Mar 8, 2026",0.33,0.10,EUR,COMPLETED,6007.26
Interest,Deposit,2026-03-09 07:17:11,2026-03-09 07:17:11,"Net Interest Paid to 'Instant Access Savings' for Mar 9, 2026",0.33,0.08,EUR,COMPLETED,6007.51
Interest,Deposit,2026-03-10 07:06:04,2026-03-10 07:06:04,"Net Interest Paid to 'Instant Access Savings' for Mar 10, 2026",0.33,0.09,EUR,COMPLETED,6007.75
Interest,Deposit,2026-03-11 07:04:44,2026-03-11 07:04:44,"Net Interest Paid to 'Instant Access Savings' for Mar 11, 2026",0.33,0.08,EUR,COMPLETED,6008.00
Interest,Deposit,2026-03-12 07:12:51,2026-03-12 07:12:51,"Net Interest Paid to 'Instant Access Savings' for Mar 12, 2026",0.33,0.10,EUR,COMPLETED,6008.23
Interest,Deposit,2026-03-13 07:10:13,2026-03-13 07:10:13,"Net Interest Paid to 'Instant Access Savings' for Mar 13, 2026",0.33,0.08,EUR,COMPLETED,6008.48
Interest,Deposit,2026-03-14 07:13:19,2026-03-14 07:13:19,"Net Interest Paid to 'Instant Access Savings' for Mar 14, 2026",0.33,0.09,EUR,COMPLETED,6008.72
Interest,Deposit,2026-03-15 07:11:02,2026-03-15 07:11:02,"Net Interest Paid to 'Instant Access Savings' for Mar 15, 2026",0.33,0.08,EUR,COMPLETED,6008.97
Interest,Deposit,2026-03-16 07:33:37,2026-03-16 07:33:37,"Net Interest Paid to 'Instant Access Savings' for Mar 16, 2026",0.33,0.09,EUR,COMPLETED,6009.21
Interest,Deposit,2026-03-17 07:22:21,2026-03-17 07:22:21,"Net Interest Paid to 'Instant Access Savings' for Mar 17, 2026",0.32,0.09,EUR,COMPLETED,6009.44
Interest,Deposit,2026-03-18 07:13:54,2026-03-18 07:13:54,"Net Interest Paid to 'Instant Access Savings' for Mar 18, 2026",0.33,0.08,EUR,COMPLETED,6009.69
Interest,Deposit,2026-03-19 07:09:33,2026-03-19 07:09:33,"Net Interest Paid to 'Instant Access Savings' for Mar 19, 2026",0.33,0.09,EUR,COMPLETED,6009.93
Interest,Deposit,2026-03-20 07:22:15,2026-03-20 07:22:15,"Net Interest Paid to 'Instant Access Savings' for Mar 20, 2026",0.33,0.08,EUR,COMPLETED,6010.18
Interest,Deposit,2026-03-21 07:10:18,2026-03-21 07:10:18,"Net Interest Paid to 'Instant Access Savings' for Mar 21, 2026",0.33,0.10,EUR,COMPLETED,6010.41
Interest,Deposit,2026-03-22 07:10:28,2026-03-22 07:10:28,"Net Interest Paid to 'Instant Access Savings' for Mar 22, 2026",0.33,0.08,EUR,COMPLETED,6010.66
Interest,Deposit,2026-03-23 07:10:16,2026-03-23 07:10:16,"Net Interest Paid to 'Instant Access Savings' for Mar 23, 2026",0.33,0.09,EUR,COMPLETED,6010.90
Interest,Deposit,2026-03-24 07:14:52,2026-03-24 07:14:52,"Net Interest Paid to 'Instant Access Savings' for Mar 24, 2026",0.33,0.08,EUR,COMPLETED,6011.15
Exchange,Deposit,2026-03-24 23:24:39,2026-03-24 23:24:39,Exchanged to INR,-1000.00,0.00,EUR,COMPLETED,5011.15
Interest,Deposit,2026-03-25 07:12:43,2026-03-25 07:12:43,"Net Interest Paid to 'Instant Access Savings' for Mar 25, 2026",0.27,0.07,EUR,COMPLETED,5011.35
Interest,Deposit,2026-03-26 07:17:25,2026-03-26 07:17:25,"Net Interest Paid to 'Instant Access Savings' for Mar 26, 2026",0.28,0.08,EUR,COMPLETED,5011.55
Interest,Deposit,2026-03-27 07:10:32,2026-03-27 07:10:32,"Net Interest Paid to 'Instant Access Savings' for Mar 27, 2026",0.27,0.07,EUR,COMPLETED,5011.75
Interest,Deposit,2026-03-28 07:13:03,2026-03-28 07:13:03,"Net Interest Paid to 'Instant Access Savings' for Mar 28, 2026",0.28,0.08,EUR,COMPLETED,5011.95
Interest,Deposit,2026-03-29 07:13:21,2026-03-29 07:13:21,"Net Interest Paid to 'Instant Access Savings' for Mar 29, 2026",0.27,0.07,EUR,COMPLETED,5012.15
Interest,Deposit,2026-03-30 07:20:20,2026-03-30 07:20:20,"Net Interest Paid to 'Instant Access Savings' for Mar 30, 2026",0.28,0.07,EUR,COMPLETED,5012.36
Interest,Deposit,2026-03-31 07:12:38,2026-03-31 07:12:38,"Net Interest Paid to 'Instant Access Savings' for Mar 31, 2026",0.27,0.07,EUR,COMPLETED,5012.56
Transfer,Savings,2026-03-03 13:51:13,2026-03-03 13:51:13,To pocket EUR Pocket from EUR,200.00,0.00,EUR,COMPLETED,1047.55
Transfer,Savings,2026-03-08 21:37:25,2026-03-08 21:37:25,Pocket Withdrawal,-800.00,0.00,EUR,COMPLETED,247.55
Transfer,Savings,2026-03-09 14:42:35,2026-03-09 14:42:35,To pocket EUR Pocket from EUR,700.00,0.00,EUR,COMPLETED,947.55
Transfer,Savings,2026-03-12 04:24:55,2026-03-12 04:24:55,Pocket Withdrawal,-100.00,0.00,EUR,COMPLETED,847.55
Transfer,Savings,2026-03-15 01:50:50,2026-03-15 01:50:50,Pocket Withdrawal,-100.00,0.00,EUR,COMPLETED,747.55
Transfer,Savings,2026-03-17 17:39:56,2026-03-17 17:39:56,Pocket Withdrawal,-100.00,0.00,EUR,COMPLETED,647.55
Transfer,Savings,2026-03-19 23:27:06,2026-03-19 23:27:06,Pocket Withdrawal,-200.00,0.00,EUR,COMPLETED,447.55
Transfer,Savings,2026-03-20 02:52:15,2026-03-20 02:52:15,Pocket Withdrawal,-100.00,0.00,EUR,COMPLETED,347.55
Transfer,Savings,2026-03-21 20:45:27,2026-03-21 20:45:27,Pocket Withdrawal,-100.00,0.00,EUR,COMPLETED,247.55
Transfer,Savings,2026-03-28 23:22:16,2026-03-28 23:22:16,To pocket EUR Pocket from EUR,2000.00,0.00,EUR,COMPLETED,2247.55
Transfer,Savings,2026-03-31 02:20:32,2026-03-31 02:20:32,Pocket Withdrawal,-800.00,0.00,EUR,COMPLETED,1447.55
Transfer,Savings,2026-03-31 22:35:20,2026-03-31 22:35:20,Pocket Withdrawal,-400.00,0.00,EUR,COMPLETED,1047.55
Card Payment,Current,2026-02-28 16:40:02,2026-03-01 10:07:40,Lidl,-8.14,0.00,EUR,COMPLETED,2870.80
Card Payment,Current,2026-02-28 18:25:28,2026-03-01 10:07:48,Rewe,-36.95,0.00,EUR,COMPLETED,2833.85
Card Payment,Current,2026-03-01 02:06:46,2026-03-01 14:28:56,Girasol,-200.00,0.00,EUR,COMPLETED,2633.85
Transfer,Current,2026-03-01 15:04:04,2026-03-01 15:04:05,Transfer from BALAJI JAYAKUMAR,50.00,0.00,EUR,COMPLETED,2683.85
Topup,Current,2026-03-01 17:06:54,2026-03-01 17:06:55,Payment from NATALIIA TELEHA,62.30,0.00,EUR,COMPLETED,2746.15
Transfer,Current,2026-03-01 15:16:53,2026-03-02 08:07:03,To Carlo de Pretis,-1155.00,0.00,EUR,COMPLETED,1591.15
Transfer,Current,2026-03-01 15:16:53,2026-03-02 08:07:03,To Christian weppner,-1059.00,0.00,EUR,COMPLETED,532.15
Transfer,Current,2026-03-02 05:30:00,2026-03-02 18:29:28,ROLAND Rechtsschutz AG,-27.61,0.00,EUR,COMPLETED,504.54
Card Payment,Current,2026-03-02 17:26:47,2026-03-03 10:53:04,Sanku Maots'ai,-11.64,0.00,EUR,COMPLETED,492.90
Transfer,Current,2026-03-03 13:51:13,2026-03-03 13:51:13,To pocket EUR Pocket from EUR,-200.00,0.00,EUR,COMPLETED,292.90
Transfer,Current,2026-03-03 05:30:00,2026-03-03 17:45:04,Urban Sports GmbH by Adyen,-14.90,0.00,EUR,COMPLETED,278.00
Card Payment,Current,2026-03-03 21:33:15,2026-03-04 07:44:01,Tacuza,-11.99,0.00,EUR,COMPLETED,266.01
Topup,Current,2026-03-04 17:13:54,2026-03-04 17:13:54,Payment from BHARATH KUMAR ---,1500.00,0.00,EUR,COMPLETED,1766.01
Transfer,Current,2026-03-04 17:14:42,2026-03-04 17:14:42,To Instant Access Savings,-1000.00,0.00,EUR,COMPLETED,766.01
Transfer,Current,2026-03-04 17:15:15,2026-03-04 17:15:15,To Instant Access Savings,-500.00,0.00,EUR,COMPLETED,266.01
Transfer,Current,2026-03-04 05:30:00,2026-03-04 17:21:13,Getsafe,-3.51,0.00,EUR,COMPLETED,262.50
Card Payment,Current,2026-03-04 21:45:03,2026-03-05 07:51:30,Café Blüte,-14.81,0.00,EUR,COMPLETED,247.69
Transfer,Current,2026-03-05 18:06:09,2026-03-05 18:06:09,Transfer to GAJANAN HEGDE,-10.00,0.00,EUR,COMPLETED,237.69
Card Payment,Current,2026-03-05 23:27:00,2026-03-06 07:48:58,St Christopher's Inns,-5.00,0.00,EUR,COMPLETED,232.69
Card Payment,Current,2026-03-06 01:51:51,2026-03-06 07:49:01,St Christopher's Inns,-13.20,0.00,EUR,COMPLETED,219.49
Card Payment,Current,2026-03-07 19:17:33,2026-03-08 07:50:17,Merakee Ug Ha,-15.00,0.00,EUR,COMPLETED,204.49
Card Payment,Current,2026-03-07 21:39:27,2026-03-08 07:50:24,Supersupply,-50.00,0.00,EUR,COMPLETED,154.49
Card Payment,Current,2026-03-07 19:49:42,2026-03-08 07:50:25,Supersupply,-32.00,0.00,EUR,COMPLETED,122.49
Card Payment,Current,2026-03-06 23:31:24,2026-03-08 14:13:52,dm drogerie,-8.90,0.00,EUR,COMPLETED,113.59
Transfer,Current,2026-03-08 21:37:25,2026-03-08 21:37:25,Pocket Withdrawal,800.00,0.00,EUR,COMPLETED,913.59
Transfer,Current,2026-03-08 21:39:05,2026-03-08 21:39:07,To Balaji Jayakumar,-700.00,0.00,EUR,COMPLETED,213.59
Transfer,Current,2026-03-09 14:32:31,2026-03-09 14:32:32,Transfer from BALAJI JAYAKUMAR,700.00,0.00,EUR,COMPLETED,913.59
Transfer,Current,2026-03-09 14:42:35,2026-03-09 14:42:35,To pocket EUR Pocket from EUR,-700.00,0.00,EUR,COMPLETED,213.59
Card Payment,Current,2026-03-09 17:22:33,2026-03-10 06:38:57,Ls The Mood Burger,-9.30,0.00,EUR,COMPLETED,204.29
Card Payment,Current,2026-03-09 22:27:32,2026-03-10 15:58:14,Rewe,-20.33,0.00,EUR,COMPLETED,183.96
Card Payment,Current,2026-03-10 21:07:45,2026-03-11 13:18:35,Mr Orient Bar,-26.00,0.00,EUR,COMPLETED,157.96
Card Payment,Current,2026-03-10 21:12:44,2026-03-11 13:25:35,EDEKA,-5.08,0.00,EUR,COMPLETED,152.88
Transfer,Current,2026-03-12 04:24:55,2026-03-12 04:24:55,Pocket Withdrawal,100.00,0.00,EUR,COMPLETED,252.88
Card Payment,Current,2026-03-12 18:11:16,2026-03-13 06:20:50,Ls Kailash Parbat,-13.50,0.00,EUR,COMPLETED,239.38
Card Payment,Current,2026-03-12 04:22:59,2026-03-13 06:23:10,Amazon,-81.76,0.00,EUR,COMPLETED,157.62
Card Payment,Current,2026-03-13 18:36:41,2026-03-14 09:24:02,Rewe,-20.11,0.00,EUR,COMPLETED,137.51
Transfer,Current,2026-03-15 01:50:50,2026-03-15 01:50:50,Pocket Withdrawal,100.00,0.00,EUR,COMPLETED,237.51
Card Payment,Current,2026-03-15 01:52:02,2026-03-15 09:32:26,Lsp Kokio,-120.01,0.00,EUR,COMPLETED,117.50
Card Payment,Current,2026-03-14 22:28:10,2026-03-15 18:10:02,Netto Marken-Discount,-10.90,0.00,EUR,COMPLETED,106.60
Card Payment,Current,2026-03-12 23:28:41,2026-03-16 06:28:14,Dh Innovhub,-4.40,0.00,EUR,COMPLETED,102.20
Card Payment,Current,2026-03-16 23:00:49,2026-03-17 13:25:21,EDEKA,-7.07,0.00,EUR,COMPLETED,95.13
Card Payment,Current,2026-03-16 18:20:16,2026-03-17 13:30:55,Fiore Di Roma 29 Ug (h,-10.00,0.00,EUR,COMPLETED,85.13
Transfer,Current,2026-03-17 17:39:56,2026-03-17 17:39:56,Pocket Withdrawal,100.00,0.00,EUR,COMPLETED,185.13
Card Payment,Current,2026-03-17 17:40:57,2026-03-18 09:34:04,Rewe,-24.06,0.00,EUR,COMPLETED,161.07
Card Payment,Current,2026-03-17 23:17:08,2026-03-18 13:08:59,Urban Apes Berlin,-4.90,0.00,EUR,COMPLETED,156.17
Card Payment,Current,2026-03-16 23:15:26,2026-03-18 13:13:20,dm drogerie,-16.35,0.00,EUR,COMPLETED,139.82
Card Payment,Current,2026-03-19 08:54:19,2026-03-19 12:49:51,nextbike,-1.50,0.00,EUR,COMPLETED,138.32
Transfer,Current,2026-03-19 19:55:44,2026-03-19 19:55:44,Transfer to GAJANAN HEGDE,-10.00,0.00,EUR,COMPLETED,128.32
Card Payment,Current,2026-03-18 17:21:35,2026-03-19 21:17:45,Green & Protein,-10.32,0.00,EUR,COMPLETED,118.00
Transfer,Current,2026-03-19 23:27:06,2026-03-19 23:27:06,Pocket Withdrawal,200.00,0.00,EUR,COMPLETED,318.00
Transfer,Current,2026-03-19 23:27:37,2026-03-19 23:27:37,To investment account,-243.26,0.00,EUR,COMPLETED,74.74
Transfer,Current,2026-03-20 02:52:15,2026-03-20 02:52:15,Pocket Withdrawal,100.00,0.00,EUR,COMPLETED,174.74
Transfer,Current,2026-03-21 20:45:27,2026-03-21 20:45:27,Pocket Withdrawal,100.00,0.00,EUR,COMPLETED,274.74
Card Payment,Current,2026-03-21 11:14:37,2026-03-22 09:18:38,Rewe,-26.27,0.00,EUR,COMPLETED,248.47
Card Payment,Current,2026-03-21 20:45:52,2026-03-22 12:30:06,EDEKA,-87.66,0.00,EUR,COMPLETED,160.81
Transfer,Current,2026-03-22 15:42:55,2026-03-22 15:42:56,Transfer from BALAJI JAYAKUMAR,130.00,0.00,EUR,COMPLETED,290.81
Card Payment,Current,2026-03-22 21:13:06,2026-03-23 12:52:10,Steinecke's Brotmeisterei,-13.94,0.00,EUR,COMPLETED,276.87
Topup,Current,2026-03-23 16:39:41,2026-03-23 16:39:41,Payment from NATALIIA TELEHA,67.50,0.00,EUR,COMPLETED,344.37
Transfer,Current,2026-03-23 19:17:02,2026-03-23 19:17:03,Transfer from BALAJI JAYAKUMAR,102.81,0.00,EUR,COMPLETED,447.18
Card Payment,Current,2026-03-23 04:29:14,2026-03-24 06:33:10,Amazon,-127.03,0.00,EUR,COMPLETED,320.15
Card Payment,Current,2026-03-23 17:34:35,2026-03-24 15:59:54,Green & Protein,-10.32,0.00,EUR,COMPLETED,309.83
Card Payment,Current,2026-03-23 23:34:30,2026-03-24 16:00:28,Lidl,-10.81,0.00,EUR,COMPLETED,299.02
Card Payment,Current,2026-03-24 15:23:44,2026-03-25 07:03:32,Wolt,-17.24,0.00,EUR,COMPLETED,281.78
Card Payment,Current,2026-03-25 03:26:13,2026-03-25 21:31:15,Amazon,-61.98,0.00,EUR,COMPLETED,219.80
Card Payment,Current,2026-03-25 18:30:29,2026-03-26 09:29:18,Marral,-11.50,0.00,EUR,COMPLETED,208.30
Transfer,Current,2026-03-27 11:18:23,2026-03-27 11:18:23,Transfer from MOHIT SETHIA,577.50,0.00,EUR,COMPLETED,785.80
Topup,Current,2026-03-27 13:41:03,2026-03-27 13:41:04,Payment from BHARATH KUMAR ---,2500.00,0.00,EUR,COMPLETED,3285.80
Exchange,Current,2026-03-27 13:43:03,2026-03-27 13:43:03,Exchanged to INR,-2000.00,0.00,EUR,COMPLETED,1285.80
Card Payment,Current,2026-03-27 18:12:48,2026-03-28 09:17:57,Lucky Star,-21.00,0.00,EUR,COMPLETED,1264.80
Card Payment,Current,2026-03-27 23:26:47,2026-03-28 16:43:36,EDEKA,-6.07,0.00,EUR,COMPLETED,1258.73
Card Payment,Current,2026-03-27 18:30:25,2026-03-28 16:43:39,Orient Master,-15.56,0.00,EUR,COMPLETED,1243.17
Card Payment,Current,2026-03-28 03:47:30,2026-03-28 16:54:46,BackWERK,-3.50,0.00,EUR,COMPLETED,1239.67
Topup,Current,2026-03-28 18:57:11,2026-03-28 18:57:12,Payment from BHARATH KUMAR ---,2500.00,0.00,EUR,COMPLETED,3739.67
Transfer,Current,2026-03-28 23:22:16,2026-03-28 23:22:16,To pocket EUR Pocket from EUR,-2000.00,0.00,EUR,COMPLETED,1739.67
Card Payment,Current,2026-03-26 21:13:04,2026-03-30 06:40:56,Dh Innovhub,-4.40,0.00,EUR,COMPLETED,1735.27
Transfer,Current,2026-03-31 02:20:32,2026-03-31 02:20:32,Pocket Withdrawal,800.00,0.00,EUR,COMPLETED,2535.27
ATM,Current,2026-03-28 15:36:22,2026-03-31 12:43:53,Cash withdrawal at Berliner Sparkasse,-120.00,0.00,EUR,COMPLETED,2415.27
Card Payment,Current,2026-03-30 21:48:38,2026-03-31 15:12:34,Netto Marken-Discount,-19.40,0.00,EUR,COMPLETED,2395.87
Transfer,Current,2026-03-31 05:30:00,2026-03-31 16:31:00,Vodafone GmbH,-15.00,0.00,EUR,COMPLETED,2380.87
Transfer,Current,2026-03-31 02:22:33,2026-03-31 19:02:07,To investment account,-131.49,0.00,EUR,COMPLETED,2249.38
Transfer,Current,2026-03-31 02:22:04,2026-03-31 19:02:50,To investment account,-153.41,0.00,EUR,COMPLETED,2095.97
Transfer,Current,2026-03-31 22:35:20,2026-03-31 22:35:20,Pocket Withdrawal,400.00,0.00,EUR,COMPLETED,2495.97
Transfer,Current,2026-03-31 05:30:00,2026-03-31 16:31:00,bks,-15.00,0.00,EUR,COMPLETED,2380.87
